"block_id","k","N","prev","q","seed"
2167,3,15,0.05,0.99,20302167
2168,3,15,0.2,0.99,20302168
2169,3,15,0.5,0.99,20302169
2170,3,15,0.8,0.99,20302170
2171,3,15,0.95,0.99,20302171
2172,3,20,0.05,0.99,20302172
2173,3,20,0.2,0.99,20302173
2174,3,20,0.5,0.99,20302174
2175,3,20,0.8,0.99,20302175
2176,3,20,0.95,0.99,20302176
2177,3,30,0.05,0.99,20302177
2178,3,30,0.2,0.99,20302178
2179,3,30,0.5,0.99,20302179
2180,3,30,0.8,0.99,20302180
2181,3,30,0.95,0.99,20302181
2182,3,50,0.05,0.99,20302182
2183,3,50,0.2,0.99,20302183
2184,3,50,0.5,0.99,20302184
2185,3,50,0.8,0.99,20302185
2186,3,50,0.95,0.99,20302186
2187,3,75,0.05,0.99,20302187
2188,3,75,0.2,0.99,20302188
2189,3,75,0.5,0.99,20302189
2190,3,75,0.8,0.99,20302190
2191,3,75,0.95,0.99,20302191
2192,3,100,0.05,0.99,20302192
2193,3,100,0.2,0.99,20302193
2194,3,100,0.5,0.99,20302194
2195,3,100,0.8,0.99,20302195
2196,3,100,0.95,0.99,20302196
2197,3,150,0.05,0.99,20302197
2198,3,150,0.2,0.99,20302198
2199,3,150,0.5,0.99,20302199
2200,3,150,0.8,0.99,20302200
2201,3,150,0.95,0.99,20302201
2202,3,200,0.05,0.99,20302202
2203,3,200,0.2,0.99,20302203
2204,3,200,0.5,0.99,20302204
2205,3,200,0.8,0.99,20302205
2206,3,200,0.95,0.99,20302206
2207,3,300,0.05,0.99,20302207
2208,3,300,0.2,0.99,20302208
2209,3,300,0.5,0.99,20302209
2210,3,300,0.8,0.99,20302210
2211,3,300,0.95,0.99,20302211
2212,3,500,0.05,0.99,20302212
2213,3,500,0.2,0.99,20302213
2214,3,500,0.5,0.99,20302214
2215,3,500,0.8,0.99,20302215
2216,3,500,0.95,0.99,20302216
2217,3,1000,0.05,0.99,20302217
2218,3,1000,0.2,0.99,20302218
2219,3,1000,0.5,0.99,20302219
2220,3,1000,0.8,0.99,20302220
2221,3,1000,0.95,0.99,20302221
2222,5,15,0.05,0.99,20302222
2223,5,15,0.2,0.99,20302223
2224,5,15,0.5,0.99,20302224
2225,5,15,0.8,0.99,20302225
2226,5,15,0.95,0.99,20302226
2227,5,20,0.05,0.99,20302227
2228,5,20,0.2,0.99,20302228
2229,5,20,0.5,0.99,20302229
2230,5,20,0.8,0.99,20302230
2231,5,20,0.95,0.99,20302231
2232,5,30,0.05,0.99,20302232
2233,5,30,0.2,0.99,20302233
2234,5,30,0.5,0.99,20302234
2235,5,30,0.8,0.99,20302235
2236,5,30,0.95,0.99,20302236
2237,5,50,0.05,0.99,20302237
2238,5,50,0.2,0.99,20302238
2239,5,50,0.5,0.99,20302239
2240,5,50,0.8,0.99,20302240
2241,5,50,0.95,0.99,20302241
2242,5,75,0.05,0.99,20302242
2243,5,75,0.2,0.99,20302243
2244,5,75,0.5,0.99,20302244
2245,5,75,0.8,0.99,20302245
2246,5,75,0.95,0.99,20302246
2247,5,100,0.05,0.99,20302247
2248,5,100,0.2,0.99,20302248
2249,5,100,0.5,0.99,20302249
2250,5,100,0.8,0.99,20302250
2251,5,100,0.95,0.99,20302251
2252,5,150,0.05,0.99,20302252
2253,5,150,0.2,0.99,20302253
2254,5,150,0.5,0.99,20302254
2255,5,150,0.8,0.99,20302255
2256,5,150,0.95,0.99,20302256
2257,5,200,0.05,0.99,20302257
2258,5,200,0.2,0.99,20302258
2259,5,200,0.5,0.99,20302259
2260,5,200,0.8,0.99,20302260
2261,5,200,0.95,0.99,20302261
2262,5,300,0.05,0.99,20302262
2263,5,300,0.2,0.99,20302263
2264,5,300,0.5,0.99,20302264
2265,5,300,0.8,0.99,20302265
2266,5,300,0.95,0.99,20302266
2267,5,500,0.05,0.99,20302267
2268,5,500,0.2,0.99,20302268
2269,5,500,0.5,0.99,20302269
2270,5,500,0.8,0.99,20302270
2271,5,500,0.95,0.99,20302271
2272,5,1000,0.05,0.99,20302272
2273,5,1000,0.2,0.99,20302273
2274,5,1000,0.5,0.99,20302274
2275,5,1000,0.8,0.99,20302275
2276,5,1000,0.95,0.99,20302276
2277,6,15,0.05,0.99,20302277
2278,6,15,0.2,0.99,20302278
2279,6,15,0.5,0.99,20302279
2280,6,15,0.8,0.99,20302280
2281,6,15,0.95,0.99,20302281
2282,6,20,0.05,0.99,20302282
2283,6,20,0.2,0.99,20302283
2284,6,20,0.5,0.99,20302284
2285,6,20,0.8,0.99,20302285
2286,6,20,0.95,0.99,20302286
2287,6,30,0.05,0.99,20302287
2288,6,30,0.2,0.99,20302288
2289,6,30,0.5,0.99,20302289
2290,6,30,0.8,0.99,20302290
2291,6,30,0.95,0.99,20302291
2292,6,50,0.05,0.99,20302292
2293,6,50,0.2,0.99,20302293
2294,6,50,0.5,0.99,20302294
2295,6,50,0.8,0.99,20302295
2296,6,50,0.95,0.99,20302296
2297,6,75,0.05,0.99,20302297
2298,6,75,0.2,0.99,20302298
2299,6,75,0.5,0.99,20302299
2300,6,75,0.8,0.99,20302300
2301,6,75,0.95,0.99,20302301
2302,6,100,0.05,0.99,20302302
2303,6,100,0.2,0.99,20302303
2304,6,100,0.5,0.99,20302304
2305,6,100,0.8,0.99,20302305
